"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00081";"2019-04-24";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-04-24";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-04-24";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-04-24";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0144;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0333;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0124;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0116;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0136;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0679;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"DICLOFENAC";0;NA;0.067;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0242;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"SMX";0;NA;0.0122;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.053;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"SMX";0;NA;0.0256;"µg/l";"Fair"
"BEL00082";"2019-10-10";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0418;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"SMX";0;NA;0.0207;"µg/l";"Fair"
"BEL00082";"2019-10-23";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0112;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0138;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0228;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"SMX";0;NA;0.0144;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0325;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"NAPROXEN";0;NA;0.0222;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"SMX";0;NA;0.0188;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0396;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"SMX";0;NA;0.0176;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0234;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"SMX";0;NA;0.0133;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0305;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"SMX";0;NA;0.019;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0308;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"SMX";0;NA;0.0172;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0163;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0132;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
