Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
SiO2-Dis;Silicate;Silica - Dissolved;/Chemical/Inorganic/Non-Metal;231-545-4;7631-86-9;30563;Fraction of molybdate-reactive and molybdate-unreactive silica that pass through a 0.45 µm membrane filter.
SiO2-Rea;Silicate;Silica - Reactive;/Chemical/Inorganic/Non-Metal;231-545-4;7631-86-9;30563;The forms of silica that are molybdate-reactive including dissolved simple silicates, monomeric silica and silicic acid, as well as an undetermined fraction of polymeric silica.
SiO2-Tot;Silicate;Silica - Total;/Chemical/Inorganic/Non-Metal;231-545-4;7631-86-9;30563;Fraction of molybdate-reactive and molybdate-unreactive silica in an unfiltered sample.
Sn-Dis;Tin;Tin - Dissolved;/Chemical/Inorganic/Metal;231-141-8;7440-31-5;3299;Tin fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Sn-Ext;Tin;Tin - Extractable;/Chemical/Inorganic/Metal;231-141-8;7440-31-5;3299;Tin fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Sn-Tot;Tin;Tin - Total;/Chemical/Inorganic/Metal;231-141-8;7440-31-5;3299;Tin fraction in an unfiltered sample after vigorous digestion.
Sr-Dis;Strontium;Strontium - Dissolved;/Chemical/Inorganic/Metal;231-133-4;7440-24-6;33324;Strontium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Sr-Ext;Strontium;Strontium - Extractable;/Chemical/Inorganic/Metal;231-133-4;7440-24-6;33324;Strontium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Sr-Tot;Strontium;Strontium - Total;/Chemical/Inorganic/Metal;231-133-4;7440-24-6;33324;Strontium fraction in an unfiltered sample after vigorous digestion.
TBT-Cation;Organotin Compound;Tributylstannanylium;/Chemical/Organic/Pesticide;;36643-28-4;;C12H27Sn+ Cation of tributyl stannic hydride compounds. For 40 years TBT was used as a biocide in anti-fouling paint, commonly known as bottom paint, applied to the hulls of oceangoing vessels. As TBT is most often used as a biofouling agent, it bioaccumul
TC;Carbon;Total Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Inorganic and organic carbon fractions in an unfiltered sample.
TCACETICACID;Trichloroacetic Acid;Trichloroacetic Acid;/Chemical/Organic/Volatile Organic Compound;200-927-2;76-03-9;30956;C2HCl3O2 | Also known as trichloroethanoic acid. It is widely used in biochemistry for the precipitation of macromolecules, such as proteins, DNA, and RNA. TCA and DCA are both used in cosmetic treatments (such as chemical peels and tattoo removal) and as 
TCB-Tot;Trichlorobenzene;Trichlorobenzene - Total;/Chemical/Organic/Volatile Organic Compound;234-413-4;12002-48-1;27096;Sum of all Trichlorobenzene isomers with the molecular formula C6H3Cl3. Trichlorobenzenes are man-made chemical compounds that occur in three different forms. Even though the forms have the same molecular weight and molecular formulae, they are structurall
