Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
1112TTCETA;Tetrachloroethane;1,1,1,2-Tetrachloroethane;/Chemical/Organic/Halocarbon;211-135-1;630-20-6;34024;1,1,1,2-Tetrachloroethane is a chlorinated hydrocarbon. It is a colorless liquid with a sweet chloroform-like odor. It is used as a solvent and in the production of wood stains and varnishes. (source: https://en.wikipedia.org/wiki/1,1,1,2-Tetrachloroethane
111TCA;Methyl Chloroform;1,1,1-Trichloroethane;/Chemical/Organic/Volatile Organic Compound;200-756-3;71-55-6;36015;C2H3Cl3 | A chloroalkane also known as methyl chloroform. This colourless, sweet-smelling liquid was once produced industrially in large quantities for use as a solvent. It is regulated by the Montreal Protocol as an ozone-depleting substance and its use i
1122TTCETA;Tetrachloroethane;1,1,2,2-Tetrachloroethane;/Chemical/Organic/Halocarbon;201-197-8;79-34-5;36026;1,1,2,2-Tetrachloroethane is a chlorinated derivative of ethane. It has the highest solvent power of any chlorinated hydrocarbon. As a refrigerant, it is used under the name R-130. It was once widely used as a solvent and as an intermediate in the industri
112TCA;1,1,2-TCA;1,1,2-Trichloroethane;/Chemical/Organic/Volatile Organic Compound;201-166-9;79-00-5;36018;C2H3Cl3 | An organochloride solvent. It is used as a solvent and as an intermediate in the synthesis of 1,1-dichloroethane. 1,1,2-TCA is a central nervous system depressant and inhalation of vapors may cause dizziness, drowsiness, headache, nausea, shortne
11DCA;1,1-DCA;1,1-Dichloroethane;/Chemical/Organic/Volatile Organic Compound;200-863-5;75-34-3;81599;CH3CHCl2 | A colorless oily liquid with a chloroform-like odor. It is not easily soluble in water. It is mainly used as a feedstock in chemical synthesisused, and also as a solvent for plastics, oils and fats, as a degreaser, as a fumigant in insecticide s
11DCE;Chloroethene;1,1-Dichloroethene;/Chemical/Organic/Halocarbon;200-864-0;75-35-4;34031;C2H2Cl2 | A colorless liquid with a sharp odor used as a comonomer in the polymerization of vinyl chloride, acrylonitrile, and acrylates. The health effects from exposure to 1,1-DCE are primarily on the central nervous system and considered a potential occ
123TCBZ;Trichlorobenzene;1,2,3-Trichlorobenzene;/Chemical/Organic/Volatile Organic Compound;201-757-1;87-61-6;35289;vic-Trichlorobenzene
123TCPA;Allyltrichlorid;1,2,3-Trichloropropane;/Chemical/Organic/POP;202-486-1;96-18-4;34036;C3H5Cl3 | Historically, TCP has been used as a paint or varnish remover, a cleaning and degreasing agent, and was an impurity in certain pesticides. It is also used as a chemical intermediate in the process of making chemicals, such as hexafluoropropylene 
124TCBZ;Trichlorobenzene;1,2,4-Trichlorobenzene;/Chemical/Organic/Volatile Organic Compound;204-428-0;120-82-1;28222;unsym-Trichlorobenzene | Aside from its use as a solvent, this compound is a useful precursor to dye and pesticides. Animal studies have shown that 1,2,4-trichlorobenzene affects the liver and kidney, and is possibly a teratogen. (source: https://en.wikipe
12DCPA;Propylene Dichloride;1,2-Dichloropropane;/Chemical/Organic/Volatile Organic Compound;201-152-2;78-87-5;82163;C3H6Cl2 | 1,2-Dichloropropane is an intermediate in the production of perchloroethylene and other chlorinated chemicals. It was once used as a soil fumigant, chemical intermediate, as well as an industrial solvent and was found in paint strippers, varnishe
135TCBZ;Trichlorobenzene;1,3,5-Trichlorobenzene;/Chemical/Organic/Volatile Organic Compound;203-608-6;108-70-3;49916;sym-Trichlorobenzene | 1,3,5-Trichlorobenzene is an organochlorine compound. It is one of the three isomers of trichlorobenzene. Being more symmetrical than the other isomers, it exists as colourless crystals whereas the other isomers are liquids at room t
1CLNAPHTHALENE;Naphtalene;1-Chloronaphthalene;/Chemical/Organic/Pesticide;201-967-3;90-13-1;156062;1-Chloronaphthalene is an aromatic compound. This toxic, nonpolar organochlorine compound is sometimes used as a powerful biocide, and is also known as Basileum.
1MNPT;Methylnaphthalene;1-Methylnaphthalene;/Chemical/Organic/PAH;201-966-8;90-12-0;50717;C11H10
23DCP;Phenol;2,3-Dichlorophenol;/Chemical/Organic/Phenyl;209-399-8;576-24-9;23702;2,3-Dichlorophenol is an isomer of 2,4-Dichlorphenol. It is a precursor of an Interleukin-2 inhibitor, a pharmaceutical used to combat autoimun disease.
245T;2,4,5-T;(2,4,5-Trichlorophenoxy)acetic acid;/Chemical/Organic/Pesticide;202-273-3;93-76-5;27903;C8H5Cl3O3 | A herbicide used to defoliate broad-leafed plants. It was developed in the late 1940s and was widely used in the agricultural industry until being phased out, starting in the late 1970s due to toxicity concerns. Agent Orange, a defoliant used b
245TCPHL;Dowicide 2;2,4,5-Trichlorophenol;/Chemical/Organic/Pesticide;202-467-8;95-95-4;2852;C6H3Cl3O | Widely used as a bactericide and fungicide component.
245TP;2,4,5-TP;2-(2,4,5-Trichlorophenoxy)propanoic acid;/Chemical/Organic/Pesticide;202-271-2;93-72-1;;C9H7Cl3O3 | Also known as Fenoprop. A herbicide and a plant growth regulator. Fenoprop has been banned from use as an herbicide in the United States since 1985. The name Silvex was used in the USA. The name 2,4,5-TP is used in France and was used in the fo
246TCPHL;Dowicide 2s;2,4,6-Trichlorophenol;/Chemical/Organic/Pesticide;201-795-9;88-06-2;28755;C6H3Cl3O | A chlorinated phenol that has been used as a fungicide, herbicide, insecticide, antiseptic, defoliant, and glue preservative.
24D;2,4-D;2,4-Dichlorophenoxyacetic Acid;/Chemical/Organic/Pesticide;202-361-1;94-75-7;28854;C8H6Cl2O3, (2,4-Dichlorophenoxy)acetic acid
24DB;2,4-DB;4-(2,4-dichlorophenoxy)butanoic acid;/Chemical/Organic/Pesticide;202-366-9;94-82-6;73173;C10H10Cl2O3 | A selective systemic phenoxy herbicide used to control many annual and perennial broadleaf weeds in alfalfa, peanuts, soybeans, and other crops.
24DCP;Phenol;2,4-Diclorophenol;/Chemical/Organic/Phenyl;204-429-6;120-83-2;16738;2,4-Dichlorophenol (2,4-DCP) is a chlorinated derivative of phenol. It is produced on a large scale as a precursor to the herbicide 2,4-dichlorophenoxyacetic acid (2,4-D).
24DDD;Mitotane;2,4'-DDD;/Chemical/Organic/Pesticide;200-166-6;53-19-0;6954;C14H10Cl4 |O,P'-DDD
24DDE;DDE;2,4'-DDE;/Chemical/Organic/Pesticide;222-318-0;3424-82-6;34211;C14H8Cl4, 2,2-(2-Chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene
24DDT;DDT;2,4'-DDT;/Chemical/Organic/Pesticide;212-332-5;789-02-6;34027;C14H9Cl5, 1,1,1-Trichloro-2-(o-chlorophenyl)-2-(p-chlorophenyl)ethane
24DNP;Phenol;2,4-Dinitrophenol;/Chemical/Organic/Phenyl;200-087-7;51-28-5;42017;2,4-Dinitrophenol in a dry form is a high explosive and has an instantaneous explosion hazard. It is a precursor to other chemicals and is biochemically active, uncoupling oxidative phosphorylation from the electron transport chain in cells with mitochondr
24DNT;Toluene;2,4-Dinitrotoluene;/Chemical/Organic/Volatile Organic Compound;204-450-0;121-14-2;92;2,4-Dinitrotoluene (DNT) or dinitro is an organic compound. It is well known as a precursor to trinitrotoluene (TNT) but is mainly produced as a precursor to toluene diisocyanate.
24DP;2,4-DP;Dichlorprop;/Chemical/Organic/Pesticide;204-390-5;120-36-5;75375;2-(2,4-dichlorophenoxy)-propionic acid | Dichlorprop is a chlorophenoxy herbicide similar in structure to 2,4-D that is used to kill annual and perennial broadleaf weeds. It is a component of many common weedkillers. About 4 million pounds of dichlorprop a
26DCPHL;Phenol;2,6-Dichlorophenol;/Chemical/Organic/Phenyl;201-761-3;87-65-0;28457;C6H3Cl2OH | One of the six isomers of dichlorophenol.
26DNT;Toluene;2,6-dinitrotoluene;/Chemical/Organic/Volatile Organic Compound;210-106-0;606-20-2;957;2,6-Dinitrotoluol is carcinogenic, possibly teratogenic and mutagenic.
2CLNAPHTHALENE;Naphtalene;2-Chloronaphthalene;/Chemical/Organic/PAH;202-079-9;91-58-7;;2-Chloronaphthalene can be used for the production of fullerenes.
2CT;2-Chlorotoluene;1-Chloro-2-methylbenzene;/Chemical/Organic/Volatile Organic Compound;;95-49-8;;C7H7Cl | Isomer of Chlorotoluene group.
2CVE;Vinyl chloride;2-Chloroethyl vinyl ether;/Chemical/Organic/Volatile Organic Compound;203-799-6;110-75-8;;2-Chloroethyl vinyl ether is used to produce sedatives, anesthetics, and cellulose ethers.
2MNPT;Methylnaphthalene;2-Methylnaphthalene;/Chemical/Organic/PAH;202-078-3;91-57-6;5072;C11H10
2MPHL;Phenol;2-Methylphenol;/Chemical/Organic/Pesticide;202-423-8;95-48-7;28054;C7H8O | 2-Methylphenol is mainly used as a precursor to other compounds. Chlorination and etherification gives members of a commercially important herbicides, such as 2-methyl-4-chlorophenoxyacetic acid (MCPA). Nitration gives dinitrocresol, a popular herb
2NITROPHENOL;Phenol;2-Nitrophenol;/Chemical/Organic/Phenyl;201-857-5;88-75-5;1626;Nitrophenols are poisonous. Occasionally, nitrophenols contaminate the soil near former explosives or fabric factories and military plants.
34DCA;Dichloroaniline;3,4-Dichloroaniline;/Chemical/Organic;210-157-9;95-76-1;16767;C6H5Cl2N
36DCP;Clopyralid;3,6-Dichloropyridine-2-carboxylic acid;/Chemical/Organic/Pesticide;216-935-4;1702-17-6;62961;Clopyralid (3,6-dichloro-2-pyridinecarboxylic acid) is a selective herbicide used for control of broadleaf weeds, especially thistles and clovers. Clopyralid is in the picolinic acid family of herbicides, which also includes aminopyralid, picloram, triclop
44DDD;Rhothane;4,4'-DDD;/Chemical/Organic/Pesticide;200-783-0;72-54-8;27841;C14H10Cl4 | P,P'-DDD | 1,1'-(2,2-dichloroethane-1,1-diyl)bis(4-chlorobenzene)
44DDE;DDE;4,4'-DDE;/Chemical/Organic/Pesticide;200-784-6;72-55-9;16598;C14H8Cl4,  1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene | P,P'-DDE
44DDT;DDT;4,4'-DDT;/Chemical/Organic/Pesticide;200-024-3;50-29-3;1613;C14H9Cl5,  1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene | P,P'-DDT
4BPPE;Phenol;4-Bromophenyl phenyl ether;/Chemical/Organic/Phenyl;202-952-4;101-55-3;77421;4-Bromophenyl phenyl ether is primarily used for research purposes. In the past it was used as a flame retardant.
4CMPHL;Phenol;4-Chloro-2-methylphenol;/Chemical/Organic/Phenyl;216-381-3;1570-64-5;18;Chemical transformation product. (source: https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/876.htm)
4NNPHL;Phenol;1-(4-Hydroxyphenyl)nonane;/Chemical/Organic/Surfactant;203-199-4;104-40-5;3444;C15H24O | 1-(4-Hydroxyphenyl)nonane - The related nonylphenols with branched nonyl groups are commercially important detergents.
4NNPHLBRA;Phenol;4-Nonylphenol (branched);/Chemical/Organic/Surfactant;284-325-5;84852-15-3;;C15H24O | A phenol ring with a Nonyl group attached at the 4-position in a branched configuration. Used in manufacturing antioxidants, lubricating oil additives, laundry and dish detergents, emulsifiers, and solubilizers. These compounds are also precursor
4NPHENOL;Phenol;4-Nitrophenol;/Chemical/Organic/Phenyl;202-811-7;100-02-7;16836;4-Nitrophenol can be used as a pH indicator. It is also an intermediate in the synthesis of paracetamol.
4OPHLH;Phenol;4-Octylphenol;/Chemical/Organic/Surfactant;217-302-5;1806-26-4;34432;
4TOTPHL;Phenol;4-tert-Octylphenol;/Chemical/Organic/Phenyl;205-426-2;140-66-9;34445;C14H22O | Octylphenol (4-(1,1',3,3'-tetramethylbutyl)-phenol) -  It is a member of the class of compounds known as phenylpropanes. Phenylpropanes are organic compounds that contain a phenylpropane moiety. 4-(1, 1, 3, 3-Tetramethylbutyl)-phenol can be found
A340;Absorbance;Absorbance at 340 nm;/Physical/Optical;;;;Spectrophotometric Absorbance Reading at 340nm
ACETAMIPRID;Neonicotinoid;Acetamiprid;/Chemical/Organic/Pesticide;603-921-1;135410-20-7;39164;N-[(6-chloro-3-pyridyl)methyl]-N'-cyano-N-methyl-acetamidine
ACETOCHLOR;Acetochlor;Acetochlor;/Chemical/Organic/Pesticide;251-899-3;34256-82-1;2394;2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide - Acetochlor is an herbicide developed by Monsanto Company and Zeneca. It is a member of the class of herbicides known as chloroacetanilides. Its mode of action is elongase inhibition, and inhib
ACHLORDANE;Chlordane;Alpha-Chlordane;/Chemical/Organic/Pesticide;225-825-5;5103-71-9;39068;C10H6Cl8, (1S,2S,3aS,4S,7R,7aR)-1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-1H-4,7-methanoindene
ACIFLUORFEN;Benzoic Acid;Acifluorfen;/Chemical/Organic/Pesticide;256-634-5;50594-66-6;73172;5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid | Acifluorfen is an herbicide. It is effective against broadleaf weeds and grasses and is used agriculturally on fields growing soybeans, peanuts, peas, and rice. (source: https://en.wikipedia.org
ACLONIFEN;Nitrophenyl Ether;2-chloro-6-nitro-3-phenoxyaniline;/Chemical/Organic/Pesticide;277-704-1;74070-46-5;137374;Aclonifen is a diphenyl ether herbicide which has been used in agriculture since the 1980s. The active ingredient is registered for use against weeds in crops including cereals, potato and sunflower.  the UK, following the withdrawal of linuron in 2017, ac
ACROLEIN;Acrolein;Prop-2-enal;/Chemical/Organic/Pesticide;203-453-4;107-02-8;15368;Acrolein (systematic name: propenal) is the simplest unsaturated aldehyde. It is a colourless liquid with a piercing, acrid smell. The smell of burnt fat (as when cooking oil is heated to its smoke point) is caused by glycerol in the burning fat breaking d
ACRYLONITRILE;Acrylonitrile;Prop-2-enenitrile;/Chemical/Organic/Volatile Organic Compound;608-003-00-4;107-13-1;28217;Acrylonitrile is an organic compound with the formula CH2CHCN. It is a colorless volatile liquid although commercial samples can be yellow due to impurities. It has a pungent odor of garlic or onions. In terms of its molecular structure, it consists of a v
ALACHLOR;Alachlor;Methachlor;/Chemical/Organic/Pesticide;240-110-8;15972-60-8;2533;C14H20ClNO2 | 2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide - It is an odorless, white solid. The greatest use of alachlor is for control of annual grasses and broadleaf weeds in crops. It is the second most widely used herbicide in the United 
ALDICARB;Aldicarb;Aldicarb;/Chemical/Organic/Pesticide;204-123-2;116-06-3;2555;C7H14N2O2S, 2-methyl-N-[(methylcarbamoyl)oxy]-2-(methylsulfanyl)propan-1-imine
ALDRIN;Aldrin;Aldrin;/Chemical/Organic/POP;206-215-8;309-00-2;2564;C12H8Cl6, (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene
ALPHACYPERMETHRIN;Pyrethroid ester;Alpha-Cypermethrin;/Chemical/Organic/Pesticide;265-898-0;67375-30-8;39336;(S)-cyano(3-phenoxyphenyl)methyl (1R,3R)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate | Alpha-cypermethrin is a widely used pyrethroid insecticide. It has a low aqueous solubility, in relatively volatile and, based on its chemical properties
AMETRYN;Ametryn;N-ethyl-6-(methylsulfanyl)-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine;/Chemical/Organic/Pesticide;;834-12-8;22472;C9H17N5S
AMPA;Phosphonic acids;Aminomethylphosphonic acid;/Chemical/Organic/Pesticide;623-325-5;1066-51-9;28812;AMPA apparently can be used as biocide and pesticide. AMPA is also used in research to assess the exposure of glyphosate.
ANTH;Acenaphthene;1,2-Dihydroacenaphthylene;/Chemical/Organic/PAH;201-469-6;83-32-9;22154;C12H10
ANTHRACENE;Anthracene;Anthracene;/Chemical/Organic/PAH;204-371-1;120-12-7;35298;C14H10
ANTL;Cyclopenta[de]naphthalene;Acenaphthylene;/Chemical/Organic/PAH;205-917-1;208-96-8;33081;C12H8
AOX;Organic Halogen;Adsorbable Organic Halides;/Chemical/Organic;;;;Adsorbable Organic Halides (AOX) is a measure of the organic halogen load at a sampling site . The procedure measures chlorine, bromine, and iodine as equivalent halogens, but does not measure fluorine levels in the sample. Persistent organic pollutants su
ATENOLOL;Beta Blocker;Atenolol;/Chemical/Organic/Pharmaceuticals;262-544-7;29122-68-7;2904;2-(4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)acetamide - Atenolol is a beta blocker medication primarily used to treat high blood pressure and heart-associated chest pain.
ATRAZINE;Triazine;Atrazine;/Chemical/Organic/Pesticide;217-617-8;1912-24-9;1593;C8H14ClN5, 6-chloro-N-ethyl-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine
ATRAZINEDESET;Triazine;Atrazine-desethyl;/Chemical/Organic/Pesticide;622-793-8;6190-65-4;28212;C6H10ClN5 | 6-chloro-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine - Atrazine-desethyl is found to be a degradation product of the triazine herbicide atrazine.
ATTAINA;Pyridines;Fluroxypyr-Meptyl;/Chemical/Organic/Pesticide;279-752-9;81406-37-3;;1-methylheptyl [(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxy]acetate | Fluroxypyr-meptyl is an esterified form of the herbicide fluroxypyr (it is a pro-herbicide, similar to a pro-drug). After predominantly foliar uptake, the ester is hydrolyzed to the p
AZINPHOS-ETHYL;Organothiophosphate;Azinphos-ethyl;/Chemical/Organic/Pesticide;220-147-6;2642-71-9;38587;O,O-Diethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] phosphorodithioate | Azinphos-ethyl (also spelled azinophos-ethyl) was a broad-spectrum organophosphate insecticide. It is very toxic to mammals with a World Health Organization hazard classificatio
AZITHROMYCIN;Antibiotic;Azithromycin;/Chemical/Organic/Pharmaceuticals;617-500-5;83905-01-5;2955;(2R,3S,4R,5R,8R,10R,11R,12S,13S,14R)-2-ethyl-3,4,10-trihydroxy-3,5,6,8,10,12,14-heptamethyl-15-oxo-11-{[3,4,6-trideoxy-3-(dimethylamino)-BETA-D-xylo-hexopyranosyl]oxy}-1-oxa-6-azacyclopentadecan-13-yl 2,6-dideoxy-3-C-methyl-3-O-methyl-ALPHA-L-ribo-hexopyra
AZOXYSTROBIN;Strobilurin;Azoxystrobin;/Chemical/Organic/Pesticide;603-524-3;131860-33-8;40909;methyl (2E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate |  A broad spectrum systemic fungicide widely used in agriculture to protect crops from fungal diseases. Azoxystrobin is categorized as having a low potential for bioconcentrat
Ag-Dis;Silver;Silver - Dissolved;/Chemical/Inorganic/Metal;231-131-3;7440-22-4;9141;Silver fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ag-Ext;Silver;Silver - Extractable;/Chemical/Inorganic/Metal;231-131-3;7440-22-4;9141;Silver fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ag-Tot;Silver;Silver - Total;/Chemical/Inorganic/Metal;231-131-3;7440-22-4;9141;Silver fraction in an unfiltered sample after vigorous digestion.
Al-Dis;Aluminium;Aluminium - Dissolved;/Chemical/Inorganic/Metal;231-072-3;7429-90-5;28984;Aluminium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Al-Ext;Aluminium;Aluminium - Extractable;/Chemical/Inorganic/Metal;231-072-3;7429-90-5;28984;Aluminium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Al-Tot;Aluminium;Aluminium - Total;/Chemical/Inorganic/Metal;231-072-3;7429-90-5;28984;Aluminium fraction in an unfiltered sample after vigorous digestion.
Alk-Phen;Alkalinity;Phenolphthalein Alkalinity;/Chemical/Inorganic/Non-Metal;207-439-9;471-34-1;3311;Acid-neutralizing capacity of sample at the point, when all Carbonate (CO32-) has reacted, measured by titration of the sample to an end point pH of around 8.3 and reported as mg CaCO3/L.
Alk-Tot;Alkalinity;Total Alkalinity;/Chemical/Inorganic/Non-Metal;207-439-9;471-34-1;3311;Acid-neutralizing capacity of sample at the point, when all Carbonate (CO32-) and Bicarbonate (HCO3-) have reacted, measured by titration of the sample to an endpoint pH ofaround  4.5 and reported as mg CaCO3/L.
As-Dis;Arsenic;Arsenic - Dissolved;/Chemical/Inorganic/Metal;231-148-6;7440-38-2;27563;Arsenic fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
As-Sus;Arsenic;Arsenic - Suspended;/Chemical/Inorganic/Metal;231-148-6;7440-38-2;27563;Arsenic fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
As-Tot;Arsenic;Arsenic - Total;/Chemical/Inorganic/Metal;231-148-6;7440-38-2;27563;Arsenic fraction in an unfiltered sample after vigorous digestion.
B-Dis;Boron;Boron - Dissolved;/Chemical/Inorganic/Metal;231-151-2;7440-42-8;2756;Boron fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
B-Ext;Boron;Boron - Extractable;/Chemical/Inorganic/Metal;231-151-2;7440-42-8;2756;Boron fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
B-Tot;Boron;Boron - Total;/Chemical/Inorganic/Metal;231-151-2;7440-42-8;2756;Boron fraction in an unfiltered sample after vigorous digestion.
BAM;Benzamide;2,6-Dichlorobenzamide;/Chemical/Organic/Pesticide;217-918-4;2008-58-4;28435;Major environmental metabolite of the herbicide 2,6-dichlorobenzonitrile (dichlobenil). (source: https://chem.nlm.nih.gov/chemidplus/rn/2008-58-4)
BAP;Benzopyrene;Benzo[a]pyrene;/Chemical/Organic/PAH;200-028-5;50-32-8;29865;C20H12 | A polycyclic aromatic hydrocarbon and the result of incomplete combustion of organic matter at temperatures between 300 °C (572 °F) and 600 °C (1,112 °F). The ubiquitous compound can be found in coal tar, tobacco smoke and many foods, especially g
BCHLORDANE;Chlordane;Beta-Chlordane;/Chemical/Organic/Pesticide;225-826-0;5103-74-2;39069;C10H6Cl8, (1S,2S,3R,4R,6S,7R)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.0^{2,6}]dec-8-ene
BDCMA;Dichlorobromomethane;Bromo(dichloro)methane;/Chemical/Organic/Halocarbon;200-856-7;75-27-4;34591;CHBrCl2 | A trihalomethane that has formerly been used as a flame retardant, and a solvent for fats and waxes and because of its high density for mineral separation. Now it is only used as a reagent or intermediate in organic chemistry. Bromodichloromethan
BENDIOCARB;Carbamate;Bendiocarb;/Chemical/Organic/Pesticide;245-216-8;22781-23-3;34556;(2,2-Dimethyl-1,3-benzodioxol-4-yl) N-methylcarbamate
BENSULFURON;Sulfonylurea;Bensulfuron;/Chemical/Organic/Pesticide;;99283-01-9;13288;2-({[(4,6-dimethoxypyrimidin-2-yl)carbamoyl]sulfamoyl}methyl)benzoic acid
BENTAZON;Bentazone;Bentazone;/Chemical/Organic/Pesticide;246-585-8;25057-89-0;3018;C10H12N2O3S | 3-Isopropyl-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide - Bentazon is a selective herbicide as it only damages plants unable to metabolize the chemical. It is considered safe for use on alfalfa, beans (with the exception of garbanzo beans.
BENZATHRENE;Anthracene;Benzo[a]anthracene;/Chemical/Organic/PAH;200-280-6;56-55-3;51348;Benz[a]anthracene is one of carcinogenic constituents of tobacco smoke.
BENZENE;Benzene;Benzene;/Chemical/Organic/Volatile Organic Compound;200-753-8;71-43-2;16716;C6H6
BENZIDINE;Phenol;Benzidine;/Chemical/Organic/Phenyl;202-199-1;92-87-5;80495;Benzidine has been linked to bladder and pancreatic cancer.
BENZOYLPROP-ETHYL;Benzamide;Benzoylprop-ethyl;/Chemical/Organic/Pesticide;244-845-5;22212-55-1;82171;ethyl 2-(N-benzoyl-3,4-dichloroanilino)propanoate
BEP;Benzo[e]pyrene;Benzo[e]pyrene;/Chemical/Organic/PAH;205-892-7;192-97-2;34567;C20H12 | Mutagenic, carcinogenic agent, endocrine disruptor
BEZAFIBRATE;Antilipidemic Agent;Bezafibrate;/Chemical/Organic/Pharmaceuticals;255-567-9;41859-67-0;47612;2-{4-[2-(4-chlorobenzamido)ethyl]phenoxy}-2-methylpropanoic acid - Bezafibrate (marketed as Bezalip and various other brand names) is a fibrate drug used as a lipid-lowering agent to treat hyperlipidaemia. It helps to lower LDL cholesterol and triglyceride
BHC;BHC;Hexachlorocyclohexane;/Chemical/Organic/POP;210-168-9;608-73-1;24536;C6H6Cl6 | 1,2,3,4,5,6-Hexachlorocyclohexane
BHC-alpha;BHC;Alpha-Hexachlorocyclohexane;/Chemical/Organic/POP;206-270-8;319-84-6;39096;C6H6Cl6 | (1R,2R,3R,4R,5S,6S)-1,2,3,4,5,6-Hexachlorocyclohexane
BHC-beta;BHC;Beta-Hexachlorocyclohexane;/Chemical/Organic/POP;206-271-3;319-85-7;28428;C6H6Cl6 | (1r,2t,3c,4t,5c,6t)-1,2,3,4,5,6-Hexachlorocyclohexane
BHC-delta;BHC;Delta-Hexachlorocyclohexane;/Chemical/Organic/POP;206-272-9;319-86-8;39095;C6H6Cl6 | (1r,2R,3S,4s,5R,6S)-1,2,3,4,5,6-Hexachlorocyclohexane
BHC-epsilon;BHC;Epsilon-Hexachlorocyclohexane;/Chemical/Organic/POP;228-068-9;6108-10-7;24536;C6H6Cl6 | (1R,2R,3S,4S,5S,6S)-1,2,3,4,5,6-Hexachlorocyclohexane | An organochloride which is one of the isomers of hexachlorocyclohexane and is an byproduct of insecticide Lindane .
BHC-gamma;BHC;Gamma-Hexachlorocyclohexane (Lindane);/Chemical/Organic/POP;200-401-2;58-89-9;32888;C6H6Cl6 | (1r,2R,3S,4r,5R,6S)-1,2,3,4,5,6-Hexachlorocyclohexane | Also known as Lindane.
BIFENOX;Nitrobenzoic Acid;Methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate;/Chemical/Organic/Pesticide;255-894-7;42576-02-3;6613;Bifenox is the ISO common name for an organic compound used as an herbicide. It acts by inhibiting the enzyme protoporphyrinogen oxidase which is necessary for chlorophyll synthesis. (source: https://en.wikipedia.org/wiki/Bifenox)
BIFENTHRIN;Pyrethroid ester;Bifenthrin;/Chemical/Organic/Pesticide;617-373-6;82657-04-3;3093;2-methyl-3-phenylbenzyl (1RS)-cis-3-(2-chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropanecarboxylate | Bifenthrin is a pyrethroid insecticide used to control a range of pests. It has a low aqueous solubility and is volatile. There is a low risk of
BIPHENYL;Biphenyl;1,1'-Biphenyl;/Chemical/Organic/Phenyl;202-163-5;92-52-4;17097;C12H10 | Biphenyl prevents the growth of molds and fungus, and is therefore used as a preservative (E230, in combination with E231, E232 and E233), particularly in the preservation of citrus fruits during transportation. It is no longer approved as a food 
BOD;Oxygen Demand;Biochemical Oxygen Demand;/Chemical/Oxygen Demand;;;;A measure of oxygen consumption during decomposition of both organic and inorganic substances. Reported as mg O2/L.
BROMACIL;Bromacil;Bromacil;/Chemical/Organic/Pesticide;206-25-1;314-40-9;3177;5-bromo-3-(butan-2-yl)-6-methylpyrimidine-2,4(1H,3H)-dione or 5-bromo-3-sec-butyl-6-methyluracil - Bromacil is an organic compound with the chemical formula C9H13BrN2O2, commercially available as a herbicide. Bromacil was first registered as a pesticide in
BROMOFORM;Bromoform;Tribromomethane;/Chemical/Organic/Halocarbon;200-854-6;75-25-2;38682;Natural production of bromoform by phytoplankton and seaweeds in the ocean is thought to be its predominant source in the environment. However, locally significant amounts of bromoform enter the environment formed as disinfection byproducts known as trihal
BROMOXYNIL;Bromoxynil;3,5-dibromo-4-hydroxybenzonitrile;/Chemical/Organic/Pesticide;216-882-7;1689-84-5;17192;3,5-dibromo-4-hydroxybenzonitrile |Bromoxynil is an organic compound with the formula HOBr2C6H2CN. It is classified as a nitrile herbicide, and as such sold under many trade names. Lethal doses in mammals range between 60 and 600 milligrams ingested per ki
